"","CASE_NBR","CREATED","CLOSED","STATUS","TYPE","DESCRIPTION","address","LAT","LON"
"177",31426293,"2/13/2016 1:42:09 PM","","Open","Graffiti","Graffiti - 108877","6922 WAXWING WAY, Sacramento, CA, 95842",38.691396,-121.351626
"178",31426294,"2/13/2016 1:42:12 PM","","Open","Graffiti","Graffiti - 108875","6344 VERNER AVE, Sacramento, CA, 95841",38.681954,-121.33377
"179",31426303,"2/13/2016 2:40:00 PM","","Open","Traffic Sign Complaints","Traffic Sign Complaints","7849 STOCKTON BLVD, Sacramento, CA, 95828",38.460318,-121.411786
"180",31426318,"2/13/2016 3:52:11 PM","","Open","Traffic Sign Complaints","Road traffic sign - 108889","1266 HOWE AVE, Sacramento, CA, 95825",38.588276,-121.415239
"181",31426329,"2/13/2016 4:32:05 PM","","Open","Pavement","Pothole - 108895","4400 PENNSYLVANIA AVE, Sacramento, CA, 95628",38.643437,-121.268207
"182",31426359,"2/13/2016 6:02:13 PM","","Open","Abandoned Vehicles","Abandoned Vehicle - 108904","6896 BRIGGS DR, Sacramento, CA, 95828",38.502809,-121.419245
"183",31426409,"2/14/2016 7:19:55 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","8796 KENTSHIRE WAY, Sacramento, CA, 95828",38.458798,-121.375965
"184",31426418,"2/14/2016 8:52:09 AM","","Open","Pavement","Pothole - 108945","454 CROCKER RD, Sacramento, CA, 95864",38.571638,-121.392838
"185",31426425,"2/14/2016 9:22:10 AM","","Open","Pavement","Pothole - 108950","3381 SIERRA OAKS DR, Sacramento, CA, 95864",38.57068,-121.387874
"186",31426450,"2/14/2016 11:21:28 AM","","Open","Traffic Sign Complaints","Street Light Complaints","8137 WOOD MILL PL, Sacramento, CA, 95843",38.715945,-121.392271
"187",31426454,"2/14/2016 11:30:25 AM","","Open","Abandoned Vehicles","Abandoned Vehicle","3519 GRANT PARK DR, Sacramento, CA, 95608",38.627797,-121.326478
